"three";"lasso.ohne.weight";"lasso.econ.weight";"green.job.three.no.weight";"green.job.three.weight"
11;"0.641081984704147";"0.646606930503192";"yes";"yes"
21;"0.965257422105373";"0.973576163025412";"yes";"yes"
31;"0.341088651884646";"0.344028207759394";"yes";"yes"
100;"0.264074361960153";"0.266350196520409";"yes";"yes"
110;"0.327002820969671";"0.329820982928825";"yes";"yes"
111;"0.321254459619774";"0.287236586107147";"yes";"yes"
112;"0.344657928259541";"0.347628244721832";"yes";"yes"
120;"0.245762246468692";"0.247880264325359";"yes";"yes"
121;"0.244087099422271";"0.227286948309648";"yes";"yes"
122;"0.248009176616234";"0.267086113772263";"yes";"yes"
130;"0.286330659660709";"0.28879830250979";"yes";"yes"
131;"0.694862490195037";"0.700850924884695";"yes";"yes"
132;"0.715225275712132";"0.741674473808954";"yes";"yes"
133;"0.26722248534537";"0.269525450930186";"yes";"yes"
134;"0.09952900571423";"0.0639322877529707";"yes";"yes"
140;"0.192198203838467";"0.193854598315643";"yes";"yes"
141;"0.103467516943181";"0.10955154045781";"yes";"yes"
142;"0.210960192494759";"0.212778280753513";"yes";"yes"
143;"0.318792671086091";"0.255924789756055";"yes";"yes"
200;"0.14530791141109";"0.146560197942101";"yes";"yes"
210;"0.672686165770798";"0.678483481393957";"yes";"yes"
211;"0.834991404881195";"0.828694834994539";"yes";"yes"
212;"0.37894484104213";"0.382210647534184";"yes";"yes"
213;"0.343131266835642";"0.345532918077157";"yes";"yes"
214;"1";"1";"yes";"yes"
215;"0.75006997307133";"0.765871965734804";"yes";"yes"
216;"0.392825293126502";"0.470462905680943";"yes";"yes"
220;"0.0216864551530317";"0.0218733524487797";"yes";"yes"
221;"0.022247042053185";"0.0243747107433349";"yes";"yes"
222;"0.01401238413703";"0.0141331450766908";"yes";"yes"
223;"0.0216864551530317";"0.0218733524487797";"yes";"yes"
224;"0.0245698798132954";"0.0247816269181843";"yes";"yes"
225;"0.0251529573357783";"0.0253697294948493";"yes";"yes"
226;"0.0218850232852733";"0.0180684269750629";"yes";"yes"
230;"0.0371893996624667";"0.0375099037825895";"yes";"yes"
231;"0.092698847845996";"0.0934977411579324";"yes";"yes"
232;"0.0453315271654626";"0.0457222014264039";"yes";"yes"
233;"0.0535819035010024";"0.0540436808082984";"yes";"yes"
234;"0.0273612531762852";"0.0282552443328173";"yes";"yes"
235;"0.0313731010952827";"0.0387597802065883";"yes";"yes"
240;"0.282910598436055";"0.285348766657326";"yes";"yes"
241;"0.216549888028045";"0.213947610163521";"yes";"yes"
242;"0.310497626424738";"0.383161142059435";"yes";"yes"
243;"0.331977415813773";"0.283442158316536";"yes";"yes"
250;"0.33452403938979";"0.337407020397217";"yes";"yes"
251;"0.326180187745985";"0.421498443375668";"yes";"yes"
252;"0.345866828593766";"0.352456913950857";"yes";"yes"
260;"0.0513179725400739";"0.0517602389327751";"yes";"yes"
